character,character_gender,description,book_id,title,year,language,authors,notes
Jansee,she/her,female,mdp.39015046878727,Patternmaster / Octavia E. Butler.,1976,eng,"Butler, Octavia E",gender-fluid gods
Iray,she/her,female,mdp.39015046878727,Patternmaster / Octavia E. Butler.,1976,eng,"Butler, Octavia E",gender-fluid gods
Joanna,she/her,"woman with ""man's mind""",mdp.39015047597136,The female man / Joanna Russ; with a new introd. by Marilyn Hacker.,1977,eng,"Russ, Joanna 1937-2011","""gender war"" so society without women. i think it might be dated"
Janet,she/her,woman,mdp.39015047597136,The female man / Joanna Russ; with a new introd. by Marilyn Hacker.,1977,eng,"Russ, Joanna 1937-2011","""gender war"" so society without women. i think it might be dated"
Doro,he/him,male immortal body snatcher,mdp.39015054037372,Wild seed / Octavia E. Butler.,1980,eng,"Butler, Octavia E",gender-fluid gods
Anyanwu,she/her,female immortal being who can shapeshift,mdp.39015054037372,Wild seed / Octavia E. Butler.,1980,eng,"Butler, Octavia E",
Hank,he/him,man,mdp.39015020750835,The wild shore / Kim Stanley Robinson.,1984,eng,"Robinson, Kim Stanley",might pull back out
Tom,he/him,man,mdp.39015020750835,The wild shore / Kim Stanley Robinson.,1984,eng,"Robinson, Kim Stanley",might pull back out
Mary,she/her,woman,uc1.32106008566652,Memoirs of a spacewoman / Naomi Mitchison.,1985,eng,"Mitchison, Naomi 1897-1999",gender-fluid aliens
Olga,she/her,woman,uc1.32106008566652,Memoirs of a spacewoman / Naomi Mitchison.,1985,eng,"Mitchison, Naomi 1897-1999",gender-fluid aliens
Aziraphale,he/him,sexless angel,mdp.39015058712145,"Good omens : the nice and accurate prophecies of Agnes Nutter, witch : a novel / Neil Gaiman and Terry Pratchett.",1990,eng,"Gaiman, Neil; Pratchett, Terry",angels and demons are sexless
Crowley,he/him,sexless demon,mdp.39015058712145,"Good omens : the nice and accurate prophecies of Agnes Nutter, witch : a novel / Neil Gaiman and Terry Pratchett.",1990,eng,"Gaiman, Neil; Pratchett, Terry",angels and demons are sexless
Anathema Device,she/her,witch,mdp.39015058712145,"Good omens : the nice and accurate prophecies of Agnes Nutter, witch : a novel / Neil Gaiman and Terry Pratchett.",1990,eng,"Gaiman, Neil; Pratchett, Terry",angels and demons are sexless
Gan,he/him,boy,mdp.39015040621420,Bloodchild : and other stories / Octavia E. Butler.,1995,eng,"Butler, Octavia E",de-gendering of God
T'Gatoi,she/her,female alien,mdp.39015040621420,Bloodchild : and other stories / Octavia E. Butler.,1995,eng,"Butler, Octavia E",de-gendering of God
Sofia Mendes Quinn,she/her,woman,mdp.39015038555903,The sparrow / Mary Doria Russell.,1996,eng,"Russell, Mary Doria 1950-",species on alien planet can change sex
Milica Raznakovic,she/her,polymorph,mdp.39015063193216,Polymorph / Scott Westerfeld.,1997,eng,"Westerfeld, Scott",gender-fluid main character
Sofia Mendes Quinn,she/her,woman,mdp.39015047519965,Children of God : a novel / Mary Doria Russell.,1998,eng,"Russell, Mary Doria 1950-",sequel to The Sparrow
